column,column_2
2021-08-30 08:00:00,1080
2021-08-30 08:36:00,944
2021-08-31 06:00:00,980
2021-08-31 08:00:00,990
2021-08-31 09:36:00,1000
2021-08-31 20:00:00,990
2021-09-01 08:00:00,940
2021-09-01 20:00:00,1050
2021-09-02 01:00:00,1210
2021-09-02 06:15:00,1640
2021-09-02 08:00:00,1710
2021-09-02 19:15:00,2320
2021-09-02 20:00:00,2340
2021-09-03 06:15:00,2490
2021-09-03 07:30:00,2550
2021-09-03 08:00:00,2550
2021-09-03 14:00:00,2550
2021-09-03 18:42:00,2320
2021-09-03 20:00:00,2180
2021-09-04 08:00:00,1510
2021-09-04 18:54:00,1580
2021-09-04 20:00:00,1580
2021-09-05 06:54:00,1530
2021-09-05 08:00:00,1550
2021-09-05 10:00:00,1700
2021-09-05 16:15:00,2040
2021-09-05 20:00:00,2220
2021-09-06 01:54:00,2660
2021-09-06 04:00:00,2820
2021-09-06 08:00:00,2760
2021-09-06 12:39:00,2770
2021-09-06 20:00:00,2660
2021-09-07 07:03:00,3180
2021-09-07 08:00:00,3200
2021-09-07 10:00:00,3240
2021-09-07 12:00:00,3240
2021-09-07 14:00:00,3300
2021-09-07 16:00:00,3310
2021-09-07 18:00:00,3310
2021-09-07 18:57:00,3280
2021-09-07 20:00:00,3280
2021-09-07 21:36:00,3300
2021-09-07 22:00:00,3280
2021-09-08 00:00:00,3250
2021-09-08 02:00:00,3250
2021-09-08 04:00:00,3230
2021-09-08 06:00:00,3150
2021-09-08 07:00:00,2980
2021-09-08 08:00:00,2950
2021-09-08 10:00:00,2910
2021-09-08 12:00:00,2730
2021-09-08 14:00:00,2650
2021-09-08 15:30:00,2480
2021-09-08 16:00:00,2550
2021-09-08 18:00:00,2400
2021-09-08 20:00:00,2220
2021-09-09 06:45:00,1720
2021-09-09 08:00:00,1680
2021-09-09 20:00:00,1380
2021-09-10 07:03:00,1310
2021-09-10 08:00:00,1310
2021-09-10 20:00:00,1140
2021-09-11 08:00:00,1020
2021-09-11 10:30:00,1030
2021-09-11 20:00:00,1020
2021-09-12 08:00:00,1270
2021-09-12 12:24:00,1440
2021-09-12 20:00:00,1510
2021-09-13 08:00:00,1360
2021-09-13 20:00:00,1210
2021-09-14 08:00:00,1220
2021-09-14 09:09:00,1240
2021-09-14 20:00:00,1360
2021-09-15 08:00:00,1430
2021-09-15 20:00:00,1250
2021-09-16 08:00:00,1270
2021-09-16 20:00:00,1250
2021-09-17 08:00:00,1400
2021-09-17 08:51:00,1410
2021-09-17 09:30:00,1540
2021-09-17 16:42:00,2320
2021-09-17 20:00:00,2670
2021-09-17 22:03:00,3000
2021-09-18 00:00:00,3020
2021-09-18 02:00:00,3080
2021-09-18 04:00:00,3180
2021-09-18 06:00:00,3210
