column,column_2
2021-08-30 03:00:28.800,225
2021-08-31 01:00:28.800,210
2021-08-31 03:00:28.800,206
2021-08-31 04:21:28.800,201
2021-09-01 02:36:28.800,328
2021-09-01 03:00:28.800,328
2021-09-01 05:00:28.800,346
2021-09-01 05:30:28.800,357
2021-09-01 07:00:28.800,384
2021-09-01 09:00:28.800,468
2021-09-01 10:24:28.800,655
2021-09-01 11:00:28.800,699
2021-09-01 13:00:28.800,847
2021-09-01 13:57:28.800,909
2021-09-01 15:00:28.800,971
2021-09-01 17:00:28.800,1080
2021-09-01 18:18:28.800,1260
2021-09-01 19:00:28.800,1210
2021-09-01 21:00:28.800,1400
2021-09-01 23:00:28.800,1500
2021-09-01 23:48:28.800,1610
2021-09-02 01:00:28.800,1690
2021-09-02 03:00:28.800,1750
2021-09-02 05:00:28.800,1850
2021-09-02 07:00:28.800,1880
2021-09-02 08:42:28.800,1900
2021-09-02 09:00:28.800,1960
2021-09-02 11:00:28.800,1930
2021-09-02 13:00:28.800,1940
2021-09-02 14:33:28.800,1820
2021-09-02 15:00:28.800,1930
2021-09-02 17:00:28.800,1780
2021-09-02 19:00:28.800,1750
2021-09-02 21:00:28.800,1670
2021-09-02 22:33:28.800,1420
2021-09-02 23:00:28.800,1610
2021-09-03 01:00:28.800,1320
2021-09-03 03:00:28.800,1230
2021-09-03 05:00:28.800,1160
2021-09-03 07:00:28.800,1130
2021-09-03 08:42:28.800,1100
2021-09-03 09:00:28.800,1100
2021-09-03 11:00:28.800,1040
2021-09-03 13:00:28.800,991
2021-09-03 15:00:28.800,945
2021-09-03 17:27:28.800,879
2021-09-04 03:00:28.800,645
2021-09-04 04:15:28.800,679
2021-09-04 13:15:28.800,497
2021-09-04 15:00:28.800,490
2021-09-04 18:30:28.800,539
2021-09-04 20:27:28.800,845
2021-09-05 00:00:28.800,1150
2021-09-05 00:18:28.800,1170
2021-09-05 03:00:28.800,1330
2021-09-05 06:00:28.800,1500
2021-09-05 07:03:28.800,1640
2021-09-05 09:00:28.800,1720
2021-09-05 12:00:28.800,1810
2021-09-05 15:00:28.800,1860
2021-09-05 15:57:28.800,1810
2021-09-05 18:00:28.800,1820
2021-09-05 21:00:28.800,1810
2021-09-06 00:00:28.800,1820
2021-09-06 01:06:28.800,1570
2021-09-06 03:00:28.800,1530
2021-09-06 06:00:28.800,1500
2021-09-06 09:00:28.800,1540
2021-09-06 12:00:28.800,1700
2021-09-06 13:36:28.800,1730
2021-09-06 15:00:28.800,1810
2021-09-06 18:00:28.800,1920
2021-09-06 19:03:28.800,2150
2021-09-06 21:00:28.800,2210
2021-09-06 23:00:28.800,2290
2021-09-07 01:00:28.800,2390
2021-09-07 01:18:28.800,2330
2021-09-07 03:00:28.800,2400
2021-09-07 05:00:28.800,2410
2021-09-07 07:00:28.800,2420
