column,column_2
2021-08-30 08:00:00,610
2021-08-30 16:42:00,452
2021-08-31 06:00:00,605
2021-08-31 08:00:00,605
2021-08-31 13:09:00,537
2021-09-01 08:00:00,839
2021-09-01 12:21:00,781
2021-09-01 21:36:00,923
2021-09-02 07:12:00,1020
2021-09-02 08:00:00,1020
2021-09-02 20:00:00,794
2021-09-03 08:00:00,810
2021-09-04 08:00:00,682
2021-09-04 12:12:00,823
2021-09-04 12:36:00,848
2021-09-04 13:51:00,1070
2021-09-04 16:06:00,1190
2021-09-04 18:30:00,1200
2021-09-04 18:48:00,1120
2021-09-04 20:00:00,1090
2021-09-04 23:30:00,946
2021-09-05 02:54:00,906
2021-09-05 08:00:00,775
2021-09-05 14:48:00,880
2021-09-05 22:42:00,1040
2021-09-06 08:00:00,985
2021-09-07 08:00:00,635
2021-09-07 17:15:00,753
2021-09-08 08:00:00,641
2021-09-09 08:00:00,680
2021-09-09 17:12:00,613
2021-09-10 08:00:00,647
2021-09-10 19:42:00,836
2021-09-10 20:06:00,890
2021-09-10 22:30:00,978
2021-09-11 04:15:00,1240
2021-09-11 06:36:00,1270
2021-09-11 07:33:00,1230
2021-09-11 08:00:00,1260
2021-09-11 12:54:00,1200
2021-09-11 19:24:00,1040
2021-09-11 20:00:00,1070
2021-09-12 08:00:00,938
2021-09-12 17:09:00,920
2021-09-12 20:00:00,990
2021-09-13 08:00:00,1130
2021-09-13 12:42:00,1160
2021-09-13 20:00:00,1200
2021-09-14 08:00:00,979
2021-09-14 09:39:00,934
2021-09-14 20:00:00,1090
2021-09-15 08:00:00,982
2021-09-15 17:12:00,800
2021-09-15 22:57:00,988
2021-09-15 23:12:00,998
2021-09-16 07:36:00,1100
2021-09-16 08:00:00,1130
2021-09-16 09:24:00,1660
2021-09-16 12:30:00,1850
2021-09-16 20:00:00,1930
2021-09-16 23:30:00,2040
2021-09-17 02:36:00,2290
2021-09-17 07:48:00,2800
2021-09-17 08:00:00,2810
2021-09-17 11:18:00,2820
2021-09-17 11:24:00,2780
2021-09-17 14:33:00,2880
2021-09-17 16:39:00,2660
2021-09-17 19:00:00,2600
2021-09-17 20:00:00,2430
2021-09-17 23:57:00,2170
2021-09-18 04:42:00,1640
2021-09-18 07:09:00,1460
2021-09-18 08:00:00,1480
2021-09-18 16:15:00,1400
2021-09-18 20:00:00,1480
2021-09-18 23:45:00,1320
2021-09-19 08:00:00,1120
2021-09-19 09:15:00,1070
2021-09-19 13:15:00,1460
2021-09-19 20:00:00,1750
2021-09-19 21:45:00,1330
2021-09-20 00:12:00,1270
2021-09-20 08:00:00,1160
2021-09-20 16:42:00,1220
2021-09-20 20:00:00,1230
2021-09-21 08:00:00,1050
2021-09-21 17:09:00,1300
2021-09-21 20:00:00,1330
2021-09-22 08:00:00,1030
2021-09-22 16:42:00,1050
2021-09-22 20:00:00,1080
2021-09-23 08:00:00,1040
2021-09-23 20:00:00,970
2021-09-24 07:00:00,676
2021-09-24 08:00:00,670
2021-09-25 06:54:00,511
2021-09-25 08:00:00,530
2021-09-26 08:00:00,940
2021-09-26 09:27:00,974
2021-09-26 22:00:00,810
2021-09-27 00:00:00,818
2021-09-27 02:00:00,818
2021-09-27 04:00:00,795
2021-09-27 06:00:00,769
2021-09-27 08:00:00,748
2021-09-27 10:00:00,722
2021-09-27 12:00:00,702
2021-09-27 14:00:00,681
2021-09-27 16:00:00,660
2021-09-27 18:00:00,810
2021-09-27 18:39:00,1120
2021-09-27 20:00:00,1200
2021-09-27 21:03:00,1220
2021-09-27 22:00:00,1250
2021-09-28 00:00:00,1280
2021-09-28 01:06:00,1310
2021-09-28 02:00:00,1310
2021-09-28 04:00:00,1320
2021-09-28 06:00:00,1310
2021-09-28 08:00:00,1270
2021-09-28 10:00:00,1230
2021-09-28 12:00:00,1060
2021-09-28 14:00:00,1030
2021-09-28 16:00:00,1020
2021-09-28 16:42:00,1130
2021-09-28 18:00:00,1310
2021-09-28 20:00:00,1460
2021-09-28 21:06:00,1520
2021-09-28 22:00:00,1520
2021-09-29 00:00:00,1520
2021-09-29 02:00:00,1500
2021-09-29 04:00:00,1500
2021-09-29 06:00:00,1450
2021-09-29 08:00:00,1420
2021-09-29 10:00:00,1380
2021-09-29 12:00:00,1350
2021-09-29 14:00:00,1320
2021-09-29 16:00:00,1310
2021-09-29 18:00:00,1370
2021-09-29 20:00:00,1480
2021-09-29 22:00:00,1540
2021-09-30 00:00:00,1540
2021-09-30 02:00:00,1540
2021-09-30 04:00:00,1520
2021-09-30 06:00:00,1490
2021-09-30 08:00:00,1440
2021-09-30 10:00:00,1430
2021-09-30 12:00:00,1420
2021-09-30 14:00:00,1360
2021-09-30 16:00:00,1330
2021-09-30 18:00:00,1280
2021-09-30 20:00:00,1180
2021-09-30 22:00:00,1130
2021-10-01 00:00:00,1060
2021-10-01 02:00:00,1000
2021-10-01 04:00:00,955
2021-10-01 06:00:00,893
2021-10-01 08:00:00,859
2021-10-01 09:09:00,704
2021-10-01 10:00:00,700
2021-10-01 12:00:00,688
2021-10-01 14:00:00,639
2021-10-01 16:00:00,623
2021-10-01 18:00:00,612
2021-10-01 20:00:00,609
2021-10-01 22:00:00,609
2021-10-02 00:00:00,600
2021-10-02 02:00:00,600
2021-10-02 04:00:00,608
2021-10-02 06:00:00,612
2021-10-02 08:00:00,612
2021-10-02 10:00:00,608
2021-10-02 12:00:00,608
2021-10-02 14:00:00,592
2021-10-02 16:00:00,592
2021-10-02 16:30:00,596
2021-10-02 18:00:00,589
2021-10-02 20:00:00,577
2021-10-02 22:00:00,577
2021-10-03 00:00:00,577
2021-10-03 02:00:00,577
2021-10-03 04:00:00,600
2021-10-03 06:00:00,588
2021-10-03 08:00:00,571
2021-10-03 10:00:00,577
2021-10-03 12:00:00,612
2021-10-03 14:00:00,639
2021-10-03 16:00:00,655
2021-10-03 16:36:00,710
2021-10-03 18:00:00,708
2021-10-03 20:00:00,766
2021-10-03 22:00:00,802
2021-10-04 00:00:00,821
2021-10-04 02:00:00,836
2021-10-04 04:00:00,841
2021-10-04 06:00:00,868
2021-10-04 08:00:00,888
2021-10-04 08:48:00,876
2021-10-04 10:00:00,895
2021-10-04 12:00:00,919
2021-10-04 14:00:00,922
2021-10-04 16:00:00,930
2021-10-04 18:00:00,965
2021-10-04 20:00:00,1060
2021-10-04 22:00:00,1160
2021-10-04 23:12:00,1300
2021-10-05 00:00:00,1340
2021-10-05 02:00:00,1530
2021-10-05 04:00:00,1650
2021-10-05 06:00:00,1640
2021-10-05 08:00:00,1680
2021-10-05 08:51:00,2160
2021-10-05 10:00:00,2010
2021-10-05 10:27:00,2080
2021-10-05 12:00:00,2100
2021-10-05 14:00:00,2110
2021-10-05 15:00:00,2170
2021-10-05 16:00:00,2170
2021-10-05 18:00:00,2300
2021-10-05 20:00:00,2340
2021-10-05 22:00:00,2360
2021-10-05 22:54:00,2670
2021-10-06 00:00:00,2750
